artist_key,artist_name,platform,canonical_url,evidence_sources,evidence_url,confidence,status,discovery_date,verification_date
"natalia lafourcade","Natalia Lafourcade","twitter","https://x.com/lafourcade","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCKw8oP0rF37jTEq_3R8O5Mg/about","95","verified","2026-08-16","2026-08-16"
"natanael cano","Natanael cano","facebook","https://www.facebook.com/NatanaelCanoMX","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q104904549","95","verified","2026-08-16","2026-08-16"
"natanael cano","Natanael cano","facebook","https://www.facebook.com/NatanaelCanoFB","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCW2_ESwKrYgSjqQjrR09n0g/about","95","verified","2026-08-16","2026-08-16"
"natanael cano","Natanael cano","instagram","https://www.instagram.com/natanael_cano","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping+verified_youtube_channel+channel_about_external_link","http://www.wikidata.org/entity/Q104904549 | https://www.youtube.com/channel/UCW2_ESwKrYgSjqQjrR09n0g/about","95","verified","2026-08-16","2026-08-16"
"natanael cano","Natanael cano","tiktok","https://www.tiktok.com/@natanaelcano","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q104904549","95","verified","2026-08-16","2026-08-16"
"natanael cano","Natanael cano","twitter","https://x.com/natanaelcanoo","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q104904549","95","verified","2026-08-16","2026-08-16"
"natanael cano","Natanael cano","twitter","https://twitter.com/NatanaelCanoOf2","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCW2_ESwKrYgSjqQjrR09n0g/about","95","verified","2026-08-16","2026-08-16"
"neton vega","Neton Vega","facebook","https://www.facebook.com/NetonVegaOficiall","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCjZH6k7eSRdcNOOUMTMWyBg/about","95","verified","2026-08-16","2026-08-16"
"neton vega","Neton Vega","instagram","https://www.instagram.com/net0n__","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping+verified_youtube_channel+channel_about_external_link","http://www.wikidata.org/entity/Q129208676 | https://www.youtube.com/channel/UCjZH6k7eSRdcNOOUMTMWyBg/about","95","verified","2026-08-16","2026-08-16"
"neton vega","Neton Vega","tiktok","https://www.tiktok.com/@net0n__","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCjZH6k7eSRdcNOOUMTMWyBg/about","95","verified","2026-08-16","2026-08-16"
